site,category,NZTMX,NZTMY,CwmsName
1003,Some Days on Restriction,1541014.0,5141000.0,Selwyn - Waihora
1034,All Days on Restriction,1559204.0,5166392.0,Selwyn - Waihora
1071109,Some Days on Restriction,1386019.8,5096348.4,Upper Waitaki
1083,Not on Restriction,1606992.0,5282447.0,Hurunui - Waiau
1084,Not on Restriction,1594594.0,5262656.0,Hurunui - Waiau
1098,Not on Restriction,1603493.0,5278349.0,Hurunui - Waiau
1115,All Days on Restriction,1568100.0,5202979.0,Waimakariri
1186,Some Days on Restriction,1584328.0,5235748.0,Hurunui - Waiau
1189,Not on Restriction,1582246.0,5230639.0,Hurunui - Waiau
1194,Some Days on Restriction,1570399.0,5190784.0,Christchurch - West Melton
1202,Some Days on Restriction,1582199.0,5265356.0,Hurunui - Waiau
1213,Not on Restriction,1591591.0,5162796.0,Banks Peninsula
1278,Not on Restriction,1574698.0,5210876.0,Waimakariri
1421,Some Days on Restriction,1561112.0,5240263.0,Hurunui - Waiau
14240260,Not on Restriction,1578003.0,5220628.0,Hurunui - Waiau
1501,Not on Restriction,1579399.0,5252861.0,Hurunui - Waiau
1514,Not on Restriction,1571601.0,5249363.0,Hurunui - Waiau
1516,Some Days on Restriction,1526613.0,5205978.0,Waimakariri
159,Not on Restriction,1506818.0,5201179.0,Selwyn - Waihora
1630053,Not on Restriction,1655196.0,5308288.0,Kaikoura
1630054,Not on Restriction,1654259.0,5307882.0,Kaikoura
164303,Not on Restriction,1630186.0,5301338.0,Hurunui - Waiau
164304,All Days on Restriction,1629076.0,5298339.0,Hurunui - Waiau
164601,All Days on Restriction,1600094.0,5279449.0,Hurunui - Waiau
164609,Not on Restriction,1622585.3,5278746.3,Hurunui - Waiau
1646178,All Days on Restriction,1622764.0,5267591.0,Hurunui - Waiau
1646179,Not on Restriction,1605771.0,5272141.0,Hurunui - Waiau
1646183,Not on Restriction,1604892.0,5272881.0,Hurunui - Waiau
1646189,Not on Restriction,1584582.0,5292307.0,Hurunui - Waiau
1651192,All Days on Restriction,1593583.0,5246672.0,Hurunui - Waiau
1651193,Not on Restriction,1594484.0,5262736.0,Hurunui - Waiau
1651201,Not on Restriction,1588696.0,5262057.0,Hurunui - Waiau
1651203,Not on Restriction,1591995.0,5260557.0,Hurunui - Waiau
1651204,Not on Restriction,1593295.0,5263256.0,Hurunui - Waiau
165122,Some Days on Restriction,1591595.0,5258148.0,Hurunui - Waiau
165131,Some Days on Restriction,1592090.0,5257787.0,Hurunui - Waiau
165904,Not on Restriction,1581995.0,5222971.0,Hurunui - Waiau
1662149,Not on Restriction,1547607.0,5210477.0,Waimakariri
1664386,Some Days on Restriction,1511957.0,5203139.0,Selwyn - Waihora
1664388,Some Days on Restriction,1507678.0,5206178.0,Selwyn - Waihora
1664389,Not on Restriction,1490632.0,5207588.0,Selwyn - Waihora
1664402,Not on Restriction,1498921.0,5234572.0,Selwyn - Waihora
1674045,Some Days on Restriction,1595440.0,5155549.0,Banks Peninsula
1685162,Not on Restriction,1533696.0,5140189.0,Ashburton
1685163,Not on Restriction,1487113.0,5185142.0,Ashburton
1687020,Not on Restriction,1501826.0,5135594.0,Ashburton
168821,Some Days on Restriction,1481925.0,5156488.0,Ashburton
168834,Some Days on Restriction,1497507.0,5140173.0,Ashburton
168864,Not on Restriction,1491232.0,5119695.0,Ashburton
169001,Some Days on Restriction,1495509.0,5130244.0,Ashburton
169004,Not on Restriction,1493692.0,5119686.0,Ashburton
169005,Some Days on Restriction,1492043.0,5119626.0,Ashburton
169006,Not on Restriction,1494432.0,5119736.0,Ashburton
169103,Not on Restriction,1492154.0,5115712.0,Ashburton
1691052,Not on Restriction,1486731.0,5127992.0,Ashburton
1691054,Not on Restriction,1490498.0,5121092.0,Ashburton
169106,All Days on Restriction,1488232.0,5125493.0,Ashburton
169121,Not on Restriction,1488632.0,5121644.0,Ashburton
1692046,Some Days on Restriction,1486932.0,5122693.0,Ashburton
1692047,Not on Restriction,1483625.0,5111441.0,Ashburton
1692055,Not on Restriction,1490863.599,5114065.456,Ashburton
1695131,All Days on Restriction,1460515.0,5126896.0,Orari-Temuka-Opihi-Pareora
169535,Not on Restriction,1470302.0,5101792.0,Orari-Temuka-Opihi-Pareora
1696286,Not on Restriction,1428540.0,5114377.0,Orari-Temuka-Opihi-Pareora
1696288,Not on Restriction,1428830.0,5114247.0,Orari-Temuka-Opihi-Pareora
1696290,Some Days on Restriction,1429051.0,5110997.0,Orari-Temuka-Opihi-Pareora
1696295,All Days on Restriction,1462370.0,5110628.0,Orari-Temuka-Opihi-Pareora
1696297,Some Days on Restriction,1461844.0,5097547.0,Orari-Temuka-Opihi-Pareora
1696298,Not on Restriction,1430276.0,5127058.0,Orari-Temuka-Opihi-Pareora
1696318,Not on Restriction,1442181.0,5113392.0,Orari-Temuka-Opihi-Pareora
1698,Not on Restriction,1461758.0,5087800.0,Orari-Temuka-Opihi-Pareora
1708021,All Days on Restriction,1442672.0,5046084.0,Lower Waitaki - South Coastal Canterbury
1708022,All Days on Restriction,1454393.0,5043252.0,Lower Waitaki - South Coastal Canterbury
1709040,Some Days on Restriction,1428074.0,5044574.0,Lower Waitaki - South Coastal Canterbury
1711002,Not on Restriction,1413079.0,5034963.0,Lower Waitaki - South Coastal Canterbury
1711023,Not on Restriction,1448086.0,5025209.0,Lower Waitaki - South Coastal Canterbury
1711029,All Days on Restriction,1390966.0,5050150.0,Upper Waitaki
171120,Not on Restriction,1360041.0,5076041.0,Upper Waitaki
171127,Not on Restriction,1413832.0,5062265.0,Lower Waitaki - South Coastal Canterbury
171129,Some Days on Restriction,1414193.0,5078208.0,Lower Waitaki - South Coastal Canterbury
1711345,Not on Restriction,1454113.0,5025315.0,Lower Waitaki - South Coastal Canterbury
1711346,Not on Restriction,1405582.0,5030057.0,Lower Waitaki - South Coastal Canterbury
1711352,Not on Restriction,1365539.0,5085147.0,Upper Waitaki
1711356,Some Days on Restriction,1360139.0,5081343.0,Upper Waitaki
1711359,Not on Restriction,1375748.0,5073748.0,Upper Waitaki
1711364,Not on Restriction,1396929.0,5142172.0,Upper Waitaki
1711402,Not on Restriction,1395194.0,5120807.0,Upper Waitaki
1711411,Not on Restriction,1431555.0,5028357.0,Lower Waitaki - South Coastal Canterbury
1711427,Some Days on Restriction,1344142.7,5060825.8,Upper Waitaki
1741,Some Days on Restriction,1500088.0,5120190.0,Ashburton
