SwazName,use_type,date,sw_allo,gw_allo,total_allo,sw_metered_allo,gw_metered_allo,total_metered_allo,sw_restr_allo,gw_restr_allo,total_restr_allo,restr_ratio,sw_metered_restr_allo,gw_metered_restr_allo,total_metered_restr_allo,total_usage,sw_usage,gw_usage
Ashburton/Hakatere,irrigation,2013-06-30,1887698.6849208847,4440545.419589999,6328244.104510884,437182.570860215,2891271.5456272406,3328454.1164874556,1795412.1034607857,4438346.383952574,6233758.48741336,315.12933947772666,437182.570860215,2891271.5456272406,3328454.1164874556,2222787.2482203506,262027.07457385428,1960760.1736464961
Ashburton/Hakatere,irrigation,2014-06-30,2010874.9602867381,4536328.851541218,6547203.811827956,601266.2195698925,3621137.6388530466,4222403.858422939,1997486.0803973372,4536111.432045059,6533597.512442395,322.19861751152064,601266.2195698925,3621137.6388530466,4222403.858422939,2402248.441285398,284890.6220433045,2117357.8192420932
Ashburton/Hakatere,irrigation,2015-06-30,1991710.2702867382,4956050.541541218,6947760.811827956,720376.900860215,3541959.8822939075,4262336.783154122,1762425.5595609318,4952327.2065681005,6714752.76612903,322.29032258064507,687102.4188709677,3539354.4234229396,4226456.842293907,2634507.453540381,288001.30978498043,2346506.1437554006
Ashburton/Hakatere,irrigation,2016-06-30,1809073.6075757574,4745983.098717948,6555056.706293706,633835.0409090909,4071998.3320512823,4705833.372960374,1582082.7636274816,4742296.878873121,6324379.642500604,310.58965517241376,618888.2656792059,4071044.2825685237,4689932.548247729,2600953.775993131,144315.44563930482,2456638.3303538263
Ashburton/Hakatere,irrigation,2017-06-30,1691423.9333333333,5599630.566666666,7291054.500000001,811907.5,4379760.906336088,5191668.406336088,1370697.4606605223,5599331.613072196,6970029.073732721,321.3686635944701,805936.9766359446,4379497.123248531,5185434.0998844765,2227571.6445618123,174550.4999798286,2053021.1445819838
Ashburton/Hakatere,irrigation,2018-06-30,1683617.4233333333,5296410.076666666,6980027.499999999,743603.4700000001,4717589.189779614,5461192.659779614,1406770.851904762,5296410.076666666,6703180.928571427,325.92857142857144,743603.4700000001,4717589.189779614,5461192.659779614,2136190.7800724357,185410.62845417767,1950780.1516182579
Ashburton/Hakatere,stockwater,2013-06-30,1137075.5999999999,0.0,1137075.5999999999,1137075.5999999999,0.0,1137075.5999999999,1137075.5999999999,0.0,1137075.5999999999,7.0,1137075.5999999999,0.0,1137075.5999999999,673529.0625,673529.0625,0.0
Ashburton/Hakatere,stockwater,2014-06-30,1137075.5999999999,0.0,1137075.5999999999,1137075.5999999999,0.0,1137075.5999999999,1137075.5999999999,0.0,1137075.5999999999,7.0,1137075.5999999999,0.0,1137075.5999999999,838922.0625,838922.0625,0.0
Ashburton/Hakatere,stockwater,2015-06-30,1137075.5999999999,0.0,1137075.5999999999,1137075.5999999999,0.0,1137075.5999999999,1137075.5999999999,0.0,1137075.5999999999,7.0,1137075.5999999999,0.0,1137075.5999999999,205403.90625,205403.90625,0.0
Ashburton/Hakatere,stockwater,2016-06-30,2077732.3257142857,0.0,2077732.3257142857,2077732.3257142857,0.0,2077732.3257142857,2077732.3257142857,0.0,2077732.3257142857,8.0,2077732.3257142857,0.0,2077732.3257142857,351762.0,351762.0,0.0
Ashburton/Hakatere,stockwater,2017-06-30,1137075.5999999999,0.0,1137075.5999999999,1137075.5999999999,0.0,1137075.5999999999,1072712.8259907833,0.0,1072712.8259907833,6.606451612903226,1072712.8259907833,0.0,1072712.8259907833,0.0,0.0,0.0
Ashburton/Hakatere,stockwater,2018-06-30,1137075.5999999999,0.0,1137075.5999999999,659718.4171428571,0.0,659718.4171428571,1051258.5721658985,0.0,1051258.5721658985,6.483870967741936,573901.3893087558,0.0,573901.3893087558,0.0,0.0,0.0
Lagmhor,irrigation,2013-06-30,811524.5780718523,6657847.900750597,7469372.478822448,113390.74829268293,3161039.459713398,3274430.208006081,758085.6542464898,6654177.228616647,7412262.882863137,525.9881720430108,89891.63087655015,3158614.3148857034,3248505.945762254,2149999.8620851263,13729.996355962754,2136269.8657291634
Lagmhor,irrigation,2014-06-30,793315.291325196,6640797.48018018,7434112.771505375,190677.49677419354,4269440.080319503,4460117.577093698,785568.324120895,6640797.48018018,7426365.804301074,524.4657450076804,187458.12887864822,4269440.080319503,4456898.209198153,2485254.697052762,104061.81043813012,2381192.886614632
Lagmhor,irrigation,2015-06-30,800486.8913251961,6842017.880180181,7642504.771505375,203480.40806451614,3962713.2992623546,4166193.707326871,667819.9208950886,6842017.880180181,7509837.801075268,549.8602150537633,148348.5827956989,3962713.2992623546,4111061.8820580537,2725918.936617149,117884.01550125956,2608034.921115889
Lagmhor,irrigation,2016-06-30,782324.7312612614,6927646.729111698,7709971.46037296,222360.25,3200021.9822589974,3422382.2322589974,650986.6755141349,6927646.729111698,7578633.404625834,550.0597701149425,167780.78390804597,3200021.9822589974,3367802.7661670432,1669938.6497765686,43785.851497860625,1626152.7982787078
Lagmhor,irrigation,2017-06-30,783582.0628501228,6416945.02048321,7200527.083333332,235485.76,4806960.716128535,5042446.476128534,772929.9660759293,6416945.02048321,7189874.986559139,554.2626728110599,231059.11023041475,4806960.716128535,5038019.826358949,2342462.855060395,81999.62556540675,2260463.229494988
Lagmhor,irrigation,2018-06-30,777308.571031941,6452296.512301392,7229605.083333332,212450.96000000002,3492263.1184915924,3704714.0784915923,777308.571031941,6452296.512301392,7229605.083333332,555.0,212450.96000000002,3492263.1184915924,3704714.0784915923,1091656.7099670842,71965.52848516383,1019691.1814819204
Lagmhor,stockwater,2013-06-30,541659.7422183253,0.0,541659.7422183253,385804.81893906184,0.0,385804.81893906184,541659.7422183253,0.0,541659.7422183253,7.0,385804.81893906184,0.0,385804.81893906184,589635.0,589635.0,0.0
Lagmhor,stockwater,2014-06-30,541659.7422183253,0.0,541659.7422183253,462454.77597544936,0.0,462454.77597544936,541659.7422183253,0.0,541659.7422183253,7.0,462454.77597544936,0.0,462454.77597544936,657803.25,657803.25,0.0
Lagmhor,stockwater,2015-06-30,541659.7422183253,0.0,541659.7422183253,541659.7422183253,0.0,541659.7422183253,541659.7422183253,0.0,541659.7422183253,7.0,541659.7422183253,0.0,541659.7422183253,521216.71875,521216.71875,0.0
Lagmhor,stockwater,2016-06-30,542727.8176238491,0.0,542727.8176238491,463739.2652345462,0.0,463739.2652345462,542727.8176238491,0.0,542727.8176238491,7.0,463739.2652345462,0.0,463739.2652345462,427910.5,427910.5,0.0
Lagmhor,stockwater,2017-06-30,437199.5300778486,0.0,437199.5300778485,437199.5300778486,0.0,437199.5300778485,437199.5300778486,0.0,437199.5300778485,7.0,437199.5300778486,0.0,437199.5300778485,31196.430084228516,31196.430084228523,0.0
Lagmhor,stockwater,2018-06-30,437199.5300778486,0.0,437199.5300778485,253658.22222222225,0.0,253658.22222222222,437199.5300778486,0.0,437199.5300778485,7.0,253658.22222222225,0.0,253658.22222222222,148551.23974609375,148551.23974609378,0.0
Mt Harding,irrigation,2013-06-30,10124749.105714288,1939332.8942857145,12064082.000000002,411891.4199999999,1044736.1228571428,1456627.5428571429,9916911.18257773,1928967.4869691248,11845878.669546852,183.7058371735791,411891.4199999999,1034835.3820506912,1446726.802050691,535083.6473034262,281192.57172387117,253891.07557955495
Mt Harding,irrigation,2014-06-30,10124749.105714288,1584895.8942857143,11709645.000000002,692288.4199999999,1196529.1594768611,1888817.5794768613,10088936.294600923,1583301.2240626728,11672237.518663596,182.06505376344086,685747.6365130567,1194945.0499837734,1880692.6864968303,817597.7673648708,537679.3609069823,279918.4064578883
Mt Harding,irrigation,2015-06-30,10124749.105714288,1510112.8942857143,11634862.000000002,677896.9199999999,1049854.21722334,1727751.13722334,9511454.24502074,1482804.210624424,10994258.455645164,166.00537634408602,544553.4522580644,1032627.1115781787,1577180.5638362432,875772.2515463503,540903.0651947022,334869.1863516482
Mt Harding,irrigation,2016-06-30,8975336.182425873,1613722.0062533694,10589058.188679243,739769.9299999999,1128307.8885528264,1868077.8185528263,8741504.214183195,1554559.743168789,10296063.957351983,171.11954022988505,602824.1093103448,1113545.0031917333,1716369.112502078,1206837.6997367516,765214.775,441622.9247367516
Mt Harding,irrigation,2017-06-30,8946208.267223721,1594884.072398922,10541092.339622645,738507.4199999999,1251595.657218025,1990103.077218025,8927540.992331972,1590492.1660020868,10518033.15833406,187.52534562211983,727395.4637788017,1250499.7354720898,1977895.1992508918,705741.2399462312,496637.49034790037,209103.74959833088
Mt Harding,irrigation,2018-06-30,2147964.5072237193,1591249.832398922,3739214.339622641,615294.01,1201704.0883447856,1816998.0983447856,2147964.5072237193,1591249.832398922,3739214.339622641,164.0,615294.01,1201704.0883447856,1816998.0983447856,688952.099925518,395056.72,293895.37992551806
Mt Harding,stockwater,2013-06-30,14507843.309556315,11549.0,14519392.309556315,10568114.4,11549.0,10579663.4,14507843.309556315,11549.0,14519392.309556315,22.0,10568114.4,11549.0,10579663.4,6265070.501936998,6263815.501953125,1254.9999838732183
Mt Harding,stockwater,2014-06-30,12700892.608333334,11549.0,12712441.608333334,12700892.608333334,11549.0,12712441.608333334,12700892.608333334,11549.0,12712441.608333334,21.0,12700892.608333334,11549.0,12712441.608333334,4452266.561420493,4450828.911453247,1437.6499672457576
Mt Harding,stockwater,2015-06-30,12700892.608333334,11549.0,12712441.608333334,12700892.608333334,11549.0,12712441.608333334,12700892.608333334,11549.0,12712441.608333334,21.0,12700892.608333334,11549.0,12712441.608333334,4682820.034382254,4682516.484375,303.55000725388527
Mt Harding,stockwater,2016-06-30,21447672.375674598,11572.0,21459244.375674598,21447672.375674598,11572.0,21459244.375674598,21447672.375674598,11572.0,21459244.375674598,22.0,21447672.375674598,11572.0,21459244.375674598,10426368.050002806,10425160.5,1207.5500028058887
Mt Harding,stockwater,2017-06-30,12700892.608333334,11549.0,12712441.608333334,12700892.608333334,11549.0,12712441.608333334,12102697.414600614,11549.0,12114246.414600614,20.606451612903225,12102697.414600614,11549.0,12114246.414600614,8773692.552199602,8773249.002197266,443.5500023365021
Mt Harding,stockwater,2018-06-30,12700892.608333334,11549.0,12712441.608333334,12700892.608333334,11549.0,12712441.608333334,11903299.055522274,11549.0,11914848.055522274,20.483870967741936,11903299.055522274,11549.0,11914848.055522274,611209.7500055432,609376.0,1833.750005543232
North Branch,irrigation,2013-06-30,8408475.139963768,4761025.110036231,13169500.25,3758467.9099999997,2631475.3400000003,6389943.25,7115866.206392724,4759783.672277015,11875649.878669739,383.53688632872513,2684282.0920107528,2631475.3400000003,5315757.432010752,3207400.7557338253,1349257.9157203785,1858142.840013447
North Branch,irrigation,2014-06-30,8158427.748079712,4917816.501920289,13076244.25,5316124.837499999,3690211.229528985,9006336.067028984,7039110.463086623,4917625.512185266,11956735.975271888,383.85132718894005,4921198.840418587,3690211.229528985,8611410.069947572,4157582.456264645,2099427.4607806373,2058154.9954840073
North Branch,irrigation,2015-06-30,8554249.770149007,5254600.565943707,13808850.336092714,5909911.660149007,4064036.5353187085,9973948.195467714,6872513.514436644,5251329.8665485475,12123843.380985186,375.4236559139784,5402072.35315976,4064036.5353187085,9466108.888478467,5413775.252484722,2866197.7627417943,2547577.4897429277
North Branch,irrigation,2016-06-30,8394590.713735161,5868824.578235427,14263415.291970588,2357065.813923841,4454561.541725993,6811627.3556498345,6559108.024058981,5851336.570205499,12410444.594264481,388.6992795698924,1794564.0377936966,4454561.541725993,6249125.57951969,3859511.9446232677,1501547.638881147,2357964.30574212
North Branch,irrigation,2017-06-30,8379646.586935214,5661971.171124265,14041617.75805948,6729543.771274837,4528633.482657284,11258177.253932118,7097523.405810817,5660672.229604832,12758195.635415647,397.98205837173583,5610198.859661933,4528633.482657284,10138832.342319215,3853408.404649756,2177913.2095901095,1675495.1950596464
North Branch,irrigation,2018-06-30,8973935.761220928,6027652.99683855,15001588.75805948,7714299.071274836,5179216.314353713,12893515.385628548,7400862.336526832,6019423.905084107,13420286.241610937,421.5863463901689,6141691.444227217,5170987.22259927,11312678.666826487,3985704.120261375,1919860.5837420046,2065843.53651937
North Branch,stockwater,2013-06-30,21124847.5447099,374730.6686131387,21499578.213323034,19966103.74778157,347880.6686131387,20313984.41639471,21124847.5447099,374730.6686131387,21499578.213323034,44.0,19966103.74778157,347880.6686131387,20313984.41639471,13529739.250717163,13355502.915911866,174236.33480529784
North Branch,stockwater,2014-06-30,11558637.95,374730.6686131387,11933368.618613139,10931350.241666665,347880.6686131387,11279230.910279805,11558637.95,374730.6686131387,11933368.618613139,42.0,10931350.241666665,347880.6686131387,11279230.910279805,12971830.248083115,12874775.103325749,97055.14475736619
North Branch,stockwater,2015-06-30,11558637.95,400744.099270073,11959382.049270073,10931350.241666665,373894.099270073,11305244.340936739,11558637.95,400744.099270073,11959382.049270073,42.0,10931350.241666665,373894.099270073,11305244.340936739,13351468.890556335,13132599.690475464,218869.20008087158
North Branch,stockwater,2016-06-30,11581431.475,88277.64999999997,11669709.125,10952906.856944444,61376.64999999997,11014283.506944444,11581431.475,88277.64999999997,11669709.125,35.0,10952906.856944444,61376.64999999997,11014283.506944444,18945464.400138855,18890974.35,54490.050138854946
North Branch,stockwater,2017-06-30,11558637.95,84236.8,11642874.75,10931350.241666665,57386.8,10988737.041666666,11558637.95,84236.8,11642874.75,35.0,10931350.241666665,57386.8,10988737.041666666,10315604.019779205,10277061.484350586,38542.53542861939
North Branch,stockwater,2018-06-30,11558637.95,84236.8,11642874.75,10931350.241666665,35731.8,10967082.041666666,11558637.95,84236.8,11642874.75,42.0,10931350.241666665,35731.8,10967082.041666666,8506303.964324951,8466442.26435547,39861.69996948243
OShea,irrigation,2013-06-30,22790906.10884106,1327204.6411589405,24118110.75,22552503.898311257,805860.4675827817,23358364.365894042,20114924.35523123,1327204.6411589405,21442128.996390168,102.42350230414748,19876522.144701425,805860.4675827817,20682382.61228421,15868657.319919169,15380049.496912546,488607.8230066222
